,Location,Location_Type,State,Bedroom_Size,Price_2014__AVG,Price_2015__AVG,Price_2016__AVG,Price_2017__AVG,Price_2018__AVG,Price_2019__AVG
84,"Charlotte, NC",City,NC,4br,1621.4166666666667,1707.4166666666667,1790.25,1851.4166666666667,1885.0833333333333,1918.0
85,"Detroit, MI",City,MI,Studio,547.6666666666666,544.9166666666666,550.5,561.5833333333334,566.75,568.5
86,"Detroit, MI",City,MI,1br,661.5833333333334,658.5833333333334,665.25,678.5,684.75,687.1666666666666
87,"Detroit, MI",City,MI,2br,861.0833333333334,857.1666666666666,865.8333333333334,883.1666666666666,891.1666666666666,894.1666666666666
88,"Detroit, MI",City,MI,3br,1143.6666666666667,1138.3333333333333,1150.0833333333333,1173.1666666666667,1183.5833333333333,1187.6666666666667
89,"Detroit, MI",City,MI,4br,1240.5,1234.9166666666667,1247.25,1272.4166666666667,1284.0,1288.6666666666667
90,"El Paso, TX",City,TX,Studio,554.5833333333334,550.9166666666666,535.9166666666666,542.6666666666666,543.9166666666666,544.6666666666666
91,"El Paso, TX",City,TX,1br,695.5833333333334,691.1666666666666,672.3333333333334,680.5833333333334,682.0833333333334,683.1666666666666
92,"El Paso, TX",City,TX,2br,847.0,841.6666666666666,818.5833333333334,828.75,830.5,832.0
93,"El Paso, TX",City,TX,3br,1220.25,1212.5,1179.5,1194.3333333333333,1196.75,1198.3333333333333
94,"El Paso, TX",City,TX,4br,1456.9166666666667,1447.6666666666667,1408.0833333333333,1425.6666666666667,1428.9166666666667,1431.0
95,"Memphis, TN",City,TN,Studio,615.9166666666666,611.0,610.3333333333334,620.5833333333334,623.75,627.3333333333334
96,"Memphis, TN",City,TN,1br,688.4166666666666,682.9166666666666,682.0833333333334,693.5833333333334,697.0833333333334,701.1666666666666
97,"Memphis, TN",City,TN,2br,813.25,806.8333333333334,805.75,819.4166666666666,823.6666666666666,828.3333333333334
98,"Memphis, TN",City,TN,3br,1105.3333333333333,1096.6666666666667,1095.3333333333333,1113.75,1119.4166666666667,1125.6666666666667
99,"Memphis, TN",City,TN,4br,1295.9166666666667,1285.4166666666667,1284.0,1305.5833333333333,1312.0833333333333,1319.8333333333333
100,"Nashville, TN",City,TN,Studio,700.8333333333334,757.3333333333334,808.9166666666666,818.3333333333334,820.6666666666666,828.5
101,"Nashville, TN",City,TN,1br,780.3333333333334,843.3333333333334,900.5833333333334,911.0833333333334,913.6666666666666,922.6666666666666
102,"Nashville, TN",City,TN,2br,958.5,1035.75,1106.0833333333333,1119.25,1122.25,1133.1666666666667
103,"Nashville, TN",City,TN,3br,1277.25,1380.1666666666667,1473.8333333333333,1491.3333333333333,1495.5833333333333,1509.6666666666667
104,"Nashville, TN",City,TN,4br,1501.9166666666667,1623.0,1733.0833333333333,1753.4166666666667,1758.5,1775.5
105,"Baltimore, MD",City,MD,Studio,746.0833333333334,760.6666666666666,769.5833333333334,784.1666666666666,776.0833333333334,777.5
106,"Baltimore, MD",City,MD,1br,906.4166666666666,924.1666666666666,935.0833333333334,952.6666666666666,943.0,944.6666666666666
107,"Baltimore, MD",City,MD,2br,1136.9166666666667,1159.25,1172.8333333333333,1194.8333333333333,1182.6666666666667,1185.0
108,"Baltimore, MD",City,MD,3br,1461.75,1490.4166666666667,1507.75,1536.25,1520.5,1523.3333333333333
109,"Baltimore, MD",City,MD,4br,1711.9166666666667,1745.5833333333333,1766.25,1799.3333333333333,1780.9166666666667,1784.3333333333333
110,"Boston, MA",City,MA,Studio,1405.75,1415.75,1433.5833333333333,1455.9166666666667,1474.25,1493.3333333333333
111,"Boston, MA",City,MA,1br,1603.6666666666667,1615.4166666666667,1635.3333333333333,1661.0,1682.0,1703.8333333333333
112,"Boston, MA",City,MA,2br,1988.6666666666667,2002.9166666666667,2028.0,2059.6666666666665,2085.6666666666665,2112.8333333333335
